Id,Nome,Type,Altura,Peso,Urls das Habilidades,Nomes das Habilidades,Evoluções
0001,Bulbasaur,"Grass,Poison,Cerulean City",0.7 m (2′04″),6.9 kg (15.2 lbs),"/ability/overgrow,/ability/chlorophyll","overgrow,chlorophyll","Bulbasaur,Ivysaur,Venusaur"
0006,Charizard,"Fire,Flying,Fire,Dragon,Fire,Flying",1.7 m (5′07″),90.5 kg (199.5 lbs),"/ability/blaze,/ability/solar-power,/ability/tough-claws,/ability/drought","blaze,solar-power,tough-claws,drought","Charmander,Charmeleon,Charizard"
0013,Weedle,"Bug,Poison,Route 25,Viridian Forest",0.3 m (1′00″),3.2 kg (7.1 lbs),"/ability/shield-dust,/ability/run-away","shield-dust,run-away","Weedle,Kakuna,Beedrill"
0012,Butterfree,"Bug,Flying,Route 2,26,27,34,35,36,37,38,39,Azalea Town,Ilex Forest,Lake of Rage,National Park",1.1 m (3′07″),32.0 kg (70.5 lbs),"/ability/compound-eyes,/ability/tinted-lens,/pokedex/caterpie,/pokedex/metapod","compound-eyes,tinted-lens,caterpie,metapod","Caterpie,Metapod,Butterfree"
0011,Metapod,"Bug,Route 24,25,Viridian Forest",0.7 m (2′04″),9.9 kg (21.8 lbs),/ability/shed-skin,shed-skin,"Caterpie,Metapod,Butterfree"
0010,Caterpie,"Bug,Route 2,24,25,Viridian Forest",0.3 m (1′00″),2.9 kg (6.4 lbs),"/ability/shield-dust,/ability/run-away","shield-dust,run-away","Caterpie,Metapod,Butterfree"
0009,Blastoise,"Water,Water",1.6 m (5′03″),85.5 kg (188.5 lbs),"/ability/torrent,/ability/rain-dish,/ability/mega-launcher","torrent,rain-dish,mega-launcher","Squirtle,Wartortle,Blastoise"
0008,Wartortle,Water,1.0 m (3′03″),22.5 kg (49.6 lbs),"/ability/torrent,/ability/rain-dish","torrent,rain-dish","Squirtle,Wartortle,Blastoise"
0007,Squirtle,"Water,Vermilion City",0.5 m (1′08″),9.0 kg (19.8 lbs),"/ability/torrent,/ability/rain-dish","torrent,rain-dish","Squirtle,Wartortle,Blastoise"
0005,Charmeleon,Fire,1.1 m (3′07″),19.0 kg (41.9 lbs),"/ability/blaze,/ability/solar-power","blaze,solar-power","Charmander,Charmeleon,Charizard"
0004,Charmander,"Fire,Route 24",0.6 m (2′00″),8.5 kg (18.7 lbs),"/ability/blaze,/ability/solar-power","blaze,solar-power","Charmander,Charmeleon,Charizard"
0003,Venusaur,"Grass,Poison,Grass,Poison",2.0 m (6′07″),100.0 kg (220.5 lbs),"/ability/overgrow,/ability/chlorophyll,/ability/thick-fat","overgrow,chlorophyll,thick-fat","Bulbasaur,Ivysaur,Venusaur"
0002,Ivysaur,"Grass,Poison",1.0 m (3′03″),13.0 kg (28.7 lbs),"/ability/overgrow,/ability/chlorophyll","overgrow,chlorophyll","Bulbasaur,Ivysaur,Venusaur"
0025,Pikachu,"Electric,Electric,Pallet Town",0.4 m (1′04″),6.0 kg (13.2 lbs),"/ability/static,/ability/lightning-rod","static,lightning-rod","Pichu,Pikachu"
0024,Arbok,Poison,3.5 m (11′06″),65.0 kg (143.3 lbs),"/ability/intimidate,/ability/shed-skin,/ability/unnerve","intimidate,shed-skin,unnerve","Ekans,Arbok"
0023,Ekans,Poison,2.0 m (6′07″),6.9 kg (15.2 lbs),"/ability/intimidate,/ability/shed-skin,/ability/unnerve","intimidate,shed-skin,unnerve","Ekans,Arbok"
0022,Fearow,"Normal,Flying,Route 9,16,17,18,23",1.2 m (3′11″),38.0 kg (83.8 lbs),"/ability/keen-eye,/ability/sniper","keen-eye,sniper","Spearow,Fearow"
0046,Paras,"Bug,Grass,Ilex Forest,Mt. Moon,National Park",0.3 m (1′00″),5.4 kg (11.9 lbs),"/ability/effect-spore,/ability/dry-skin,/ability/damp","effect-spore,dry-skin,damp","Paras,Parasect"
0074,Geodude,"Rock,Ground,Rock,Electric,Route 45,46,Dark Cave,Mt. Moon,Mt. Mortar,Team Rocket HQ,Rock Tunnel,Union Cave",0.4 m (1′04″),20.0 kg (44.1 lbs),"/ability/rock-head,/ability/sturdy,/ability/sand-veil,/ability/magnet-pull,/ability/sturdy,/ability/galvanize","rock-head,sturdy,sand-veil,magnet-pull,sturdy,galvanize","Geodude,Graveler,Golem,Geodude,Graveler,Golem"
0073,Tentacruel,"Water,Poison,Route 19,20,21",1.6 m (5′03″),55.0 kg (121.3 lbs),"/ability/clear-body,/ability/liquid-ooze,/ability/rain-dish","clear-body,liquid-ooze,rain-dish","Tentacool,Tentacruel"
